Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Created At,Hashtags
0,83,85,1,2353,0,1,245,0
1,77,55,5,9617,1,0,275,1
2,61,6,2,4363,1,0,272,1
3,49,54,5,2242,1,1,260,1
4,29,26,3,8438,0,1,244,1
5,61,41,4,3792,1,1,281,1
6,40,54,0,10,1,0,253,1
7,48,64,0,1442,0,1,270,1
8,34,25,2,836,0,0,264,0
9,72,67,3,6523,0,1,271,1
10,46,57,4,8694,0,1,248,0
11,59,29,1,5986,1,1,255,1
12,48,60,2,6779,0,0,258,0
13,47,61,0,6073,1,0,281,1
14,39,21,2,4846,0,0,251,1
15,77,78,1,2342,0,0,252,1
16,43,64,5,6947,0,1,268,1
17,70,43,4,7945,0,0,276,1
18,58,39,0,8305,1,1,253,1
19,44,8,2,1256,0,0,276,1
20,79,26,4,653,1,1,244,0
21,86,84,4,5466,0,0,242,0
22,54,86,1,5131,1,1,259,1
23,91,55,0,5278,0,1,248,1
24,39,56,1,3347,1,1,248,1
25,70,43,2,4851,0,0,246,1
26,55,49,5,7600,0,1,259,0
27,62,7,0,706,0,1,249,0
28,43,75,1,7313,1,1,245,1
29,41,39,0,337,0,1,259,1
30,50,77,1,7006,0,0,241,1
31,62,40,2,697,1,0,262,1
32,54,25,5,4517,1,0,268,1
33,48,15,2,1785,1,0,243,1
34,86,85,0,4057,1,1,269,1
35,84,13,0,7925,0,0,254,1
36,51,63,4,2804,1,1,251,1
37,38,75,4,3544,1,1,249,1
38,63,58,1,2063,0,0,254,0
39,78,34,5,466,0,0,265,1
40,70,66,1,2852,0,1,259,1
41,47,18,0,3782,1,0,256,1
42,56,0,3,4581,0,0,281,1
43,35,21,3,6979,0,0,262,1
44,44,7,3,7523,1,0,266,1
45,68,39,0,3755,0,0,263,1
46,34,34,4,6933,0,0,270,1
47,48,72,0,8386,0,1,263,0
48,38,24,5,4096,0,1,272,1
49,50,77,0,7967,0,1,270,1
50,88,87,5,5785,1,0,243,1
51,50,44,1,7504,1,0,262,1
52,70,46,4,7074,0,0,242,1
53,68,44,4,1910,0,1,278,1
54,77,10,4,415,1,0,251,1
55,42,23,4,6001,1,0,243,0
56,36,28,3,1723,0,1,253,1
57,48,43,1,2461,0,0,276,1
58,84,3,1,5049,1,1,267,1
59,60,86,5,1385,1,1,271,1
60,66,8,2,7760,1,0,241,1
61,79,71,2,1639,0,1,247,1
62,88,89,1,2309,0,1,251,1
63,47,10,0,51,1,0,259,0
64,70,59,5,1918,1,1,279,1
65,53,97,2,3028,1,0,278,0
66,52,70,5,2560,0,0,245,1
67,76,88,4,4914,0,0,258,0
68,41,6,0,4710,0,1,260,1
69,57,25,5,3056,0,0,250,1
70,71,69,1,7828,0,0,254,1
71,75,81,0,7844,0,0,276,1
72,79,71,3,4182,0,1,254,1
73,66,71,1,2230,0,1,247,1
74,72,57,5,1120,0,0,260,0
75,55,99,1,225,1,1,248,0
76,71,86,3,9114,0,1,263,1
77,70,28,4,194,1,0,242,0
78,72,58,0,7723,1,1,259,1
79,87,34,2,3898,1,1,244,1
80,68,37,2,5368,1,1,279,1
81,56,4,3,9940,0,1,273,1
82,54,57,4,7005,0,1,280,0
83,43,93,4,9784,1,0,250,1
84,41,8,0,7889,0,1,248,1
85,72,30,1,3370,0,0,254,1
